ID,Section,Question,Deobandi View,Barelwi View,Deobandi References & Links,Barelwi References & Links
1,Beliefs & the Status of Prophets and Saints,What is the correct understanding of the Prophet’s knowledge of the unseen (ʿIlm al-Ghayb)?,The Prophet has limited (Ata'i) knowledge of the Unseen,To the Prophet was given detailed (Ata'i) knowledge of the Unseen,"Qur’an: Surah Al-A‘raf 7:188
Qur’an: Surah Al-Jinn 72:26–27
Hifz al-Iman – Ashraf Ali Thanvi, p. 8–10
Fatawa Rashidiyya – p. 12","Qur’an: Surah Al-Jinn 72:27
Sahih Muslim, Hadith 2889
Fatawa Razawiyya, Vol. 30, p. 300"
2,Beliefs & the Status of Prophets and Saints,Is the Prophet considered Hazir Nazir (present and observing the Ummah)?,The Prophet is not present everywhere,The Prophet sees the Ummah spiritually,"Qur’an: Surah Az-Zumar 39:30
Fatawa Mahmoodiyya, Vol. 1, p. 345","Qur’an: Surah Al-Ahzab 33:6
Abu Dawood, Hadith 2041
Fatawa Razawiyya, Vol. 15"
3,Beliefs & the Status of Prophets and Saints,Can the Prophet hear Salam (salutations) directly from distant places?,It is reached through the greetings of angels,The Prophet himself can also hear,"Sunan Abu Dawood, Hadith 2041
Fatawa Deoband, Vol. 2","Bayhaqi, Hayat al-Anbiya
Jaa al-Haq, p. 160"
4,Beliefs & the Status of Prophets and Saints,Is the Prophet considered superior to all creation in absolute terms (Afzal al-Khalq Mutlaqan)?,"The Prophet is the best, but he is created.",The Prophet is the best in the entire creation.,"Sahih Muslim, Hadith 2278
Fatawa Deoband","Sahih Muslim, Hadith 2278
Fatawa Razawiyya, Vol. 6"
5,Beliefs & the Status of Prophets and Saints,What is the correct interpretation of Nur-e-Muhammadi (the Prophet being created from divine light)?,"The Prophet is a human, ""Noor"" is a metaphor",The Prophet was created from Noor,"Qur’an: Surah Al-Kahf 18:110
Hifz al-Iman, p. 12","Bayhaqi (reported narration)
Fatawa Razawiyya, Vol. 14"
6,Beliefs & the Status of Prophets and Saints,What does it mean for the Prophet to be Mukhtar-e-Kul (having authority over creation by Allah’s permission)?,Full authority is only Allah's,The Prophet receives authority by Allah's permission,"Qur’an: Surah Al-A‘raf 7:188
Fatawa Rashidiyya, p. 20
Surah Al-A‘raf 7:188 https://quran.com/7/188
Surah Al-Jinn 72:21 https://quran.com/72/21","Qur’an: Surah Al-Insan 76:30
Fatawa Razawiyya"
7,Beliefs & the Status of Prophets and Saints,Is it permissible to believe that the Prophet ﷺ sees the deeds of his followers?,There is no clear and strong evidence for this,The deeds of the Ummah are shown to the Prophet,Fatawa Deoband,"Musnad Ahmad, Hadith 10400
Fatawa Razawiyya"
8,Beliefs & the Status of Prophets and Saints,Do Awliya (saints) have the power to perform miracles (karamat) after their death?,"Miracles take place in life, not after death",Saints can perform miracles even after death,"“अल्लाह के सिवा जिनको तुम पुकारते हो, वे तुम्हारी मदद नहीं कर सकते…”
(Surah Al-A‘raf 7:197)
 https://quran.com/7/197
“और मस्जिदें अल्लाह के लिए हैं, तो अल्लाह के साथ किसी को न पुकारो”
(Surah Al-Jinn 72:18)
 https://quran.com/72/18","“अल्लाह के दोस्त (Awliya) पर न कोई डर है न ग़म”
(Surah Yunus 10:62)
 https://quran.com/10/62"
9,Beliefs & the Status of Prophets and Saints,Can saints spiritually assist their followers from their graves?,Asking for help from the grave is not right,Spiritual help is possible with Allah's permission,"“और मस्जिदें अल्लाह के लिए हैं, तो अल्लाह के साथ किसी को न पुकारो”
(Surah Al-Jinn 72:18)
 https://quran.com/72/18
“जिन्हें तुम अल्लाह के सिवा पुकारते हो, वे तुम्हारी पुकार नहीं सुनते…”
(Surah Fatir 35:14)
 https://quran.com/35/14","Qur’an: Surah Al-Ma’idah 5:35
“ऐ ईमान वालों! अल्लाह से डरो और उसकी ओर वसीला तलाश करो”
(Surah Al-Ma’idah 5:35)
 https://quran.com/5/35"
10,Beliefs & the Status of Prophets and Saints,Is the Prophet alive in his grave in a way that is different from others?,The Prophet is alive but does not perform direct actions.,The Prophet is alive in the grave and performs direct actions.,"Bayhaqi, Hayat al-Anbiya
“और जो लोग अल्लाह के रास्ते में मारे गए, उन्हें मृत न कहो…”
(Surah Al-Baqarah 2:154)
 https://quran.com/2/154","“अंबिया अपनी कब्रों में ज़िंदा हैं और नमाज़ पढ़ते हैं”
(Musnad Ahmad 16645)
 https://sunnah.com/ahmad"
11,Seeking Help and Intercession,Is seeking help (Istighatha) from the Prophet after his passing allowed?,Asking for help directly from the Prophet is not appropriate,Seeking istighasa (asking for help) from the Prophet is permissible from Allah's Waseela (intercession),"“हम केवल तेरी ही इबादत करते हैं और तुझी से मदद मांगते हैं”
(Surah Al-Fatiha 1:5)
 https://quran.com/1/5
“जब तुम मांगो तो अल्लाह से मांगो…”
(Jami‘ al-Tirmidhi 2516)
 https://sunnah.com/tirmidhi:2516","“ऐ ईमान वालों! अल्लाह से डरो और उसकी ओर वसीला तलाश करो”
(Surah Al-Ma’idah 5:35)
 https://quran.com/5/35
Hadith of the Blind Man (Tawassul):
(Jami‘ al-Tirmidhi 3578)
 https://sunnah.com/tirmidhi:3578"
