ID,Section,Question,Deobandi View,Barelwi View,Deobandi References & Links,Barelwi References & Links
1,Beliefs & the Status of Prophets and Saints,पैगंबर की अज्ञात की जानकारी (ʿIlm al-Ghayb) का सही समझ क्या है?,नबी को ग़ैब का सीमित (Ata’i) ज्ञान है,नबी को विस्तृत (Ata’i) ग़ैब का ज्ञान दिया गया,"Qur’an: Surah Al-A‘raf 7:188
Qur’an: Surah Al-Jinn 72:26–27
Hifz al-Iman – Ashraf Ali Thanvi, p. 8–10
Fatawa Rashidiyya – p. 12","Qur’an: Surah Al-Jinn 72:27
Sahih Muslim, Hadith 2889
Fatawa Razawiyya, Vol. 30, p. 300"
2,Beliefs & the Status of Prophets and Saints,क्या रसूल (पैगंबर) को हाजिर नज़ीर (मौजूद और उम्माह को देख रहे) माना जाता है?,नबी हर जगह मौजूद नहीं है,नबी रूहानी तौर पर उम्मत को देखते हैं,"Qur’an: Surah Az-Zumar 39:30
Fatawa Mahmoodiyya, Vol. 1, p. 345","Qur’an: Surah Al-Ahzab 33:6
Abu Dawood, Hadith 2041
Fatawa Razawiyya, Vol. 15"
3,Beliefs & the Status of Prophets and Saints,क्या नबी दूर की जगह से सलाम (शुभेच्छा) सीधे सुन सकते हैं?,सलाम फ़रिश्तों के माध्यम से पहुँचता है,नबी स्वयं भी सुन सकते हैं,"Sunan Abu Dawood, Hadith 2041
Fatawa Deoband, Vol. 2","Bayhaqi, Hayat al-Anbiya
Jaa al-Haq, p. 160"
4,Beliefs & the Status of Prophets and Saints,"क्या रसूल (नबी) सबसे ऊपर हैं, अर्थात् सर्व सृष्टि का श्रेष्ठ (अफ़ज़ल अल-खल्क मुतलकान)?","नबी श्रेष्ठ हैं, पर मुतलक़न नहीं है",नबी पूरी सृष्टि में पूर्ण रूप से सबसे श्रेष्ठ है,"Sahih Muslim, Hadith 2278
Fatawa Deoband","Sahih Muslim, Hadith 2278
Fatawa Razawiyya, Vol. 6"
5,Beliefs & the Status of Prophets and Saints,नूर-ए-मुहम्मदी (पैगंबर का ईश्वरीय रोशनी से निर्मित होना) का सही व्याख्या क्या है?,"नबी इंसान हैं, “नूर” रूपक है",नबी को नूर से पैदा किया गया है,"Qur’an: Surah Al-Kahf 18:110
Hifz al-Iman, p. 12","Bayhaqi (reported narration)
Fatawa Razawiyya, Vol. 14"
6,Beliefs & the Status of Prophets and Saints,पैगंबर को मुख्तर-ए-कुल (अल्लाह की अनुमति से सृष्टि पर अधिकार होना) का मतलब क्या है?,पूर्ण अधिकार केवल अल्लाह का है,नबी को अल्लाह की अनुमति से अधिकार प्राप्त है,"Qur’an: Surah Al-A‘raf 7:188
Fatawa Rashidiyya, p. 20
Surah Al-A‘raf 7:188 https://quran.com/7/188
Surah Al-Jinn 72:21 https://quran.com/72/21","Qur’an: Surah Al-Insan 76:30
Fatawa Razawiyya"
7,Beliefs & the Status of Prophets and Saints,क्या यह अनुमोदित है कि रसूल (सल्लल्लाहु अलैहि वसल्लम) अपने अनुयायियों के काम देखते हैं?,इसका स्पष्ट और मजबूत प्रमाण नहीं है,उम्मत के आमाल नबी को दिखाए जाते हैं,Fatawa Deoband,"Musnad Ahmad, Hadith 10400
Fatawa Razawiyya"
8,Beliefs & the Status of Prophets and Saints,मौत के बाद अवलिया (संत) को चमत्कार (करामत) करने की क्षमता है या नहीं?,"करामात जीवन में होती हैं, मृत्यु के बाद नहीं",औलिया मृत्यु के बाद भी करामात कर सकते हैं,"“अल्लाह के सिवा जिनको तुम पुकारते हो, वे तुम्हारी मदद नहीं कर सकते…”
(Surah Al-A‘raf 7:197)
 https://quran.com/7/197
“और मस्जिदें अल्लाह के लिए हैं, तो अल्लाह के साथ किसी को न पुकारो”
(Surah Al-Jinn 72:18)
 https://quran.com/72/18","“अल्लाह के दोस्त (Awliya) पर न कोई डर है न ग़म”
(Surah Yunus 10:62)
 https://quran.com/10/62"
9,Beliefs & the Status of Prophets and Saints,क्या संत अपने दफन होने के बाद भी अपने अनुयायियों को आध्यात्मिक रूप से सहायता कर सकते हैं?,कब्र से मदद मांगना सही नहीं है,अल्लाह की अनुमति से रूहानी मदद संभव है,"“और मस्जिदें अल्लाह के लिए हैं, तो अल्लाह के साथ किसी को न पुकारो”
(Surah Al-Jinn 72:18)
 https://quran.com/72/18
“जिन्हें तुम अल्लाह के सिवा पुकारते हो, वे तुम्हारी पुकार नहीं सुनते…”
(Surah Fatir 35:14)
 https://quran.com/35/14","Qur’an: Surah Al-Ma’idah 5:35
“ऐ ईमान वालों! अल्लाह से डरो और उसकी ओर वसीला तलाश करो”
(Surah Al-Ma’idah 5:35)
 https://quran.com/5/35"
10,Beliefs & the Status of Prophets and Saints,क्या रसूल (सल्लल्लाहु अलैहि व सल्लम) अपनी कब्र में अन्य लोगों की तरह अलग तरह से जीवित हैं?,"नबी, में जिन्दा है लेकिन प्रत्यक्ष आमाल नहीं रखते है.","नबी, कब्र में जिन्दा है, और प्रत्यक्ष आमाल रखते है","Bayhaqi, Hayat al-Anbiya
“और जो लोग अल्लाह के रास्ते में मारे गए, उन्हें मृत न कहो…”
(Surah Al-Baqarah 2:154)
 https://quran.com/2/154","“अंबिया अपनी कब्रों में ज़िंदा हैं और नमाज़ पढ़ते हैं”
(Musnad Ahmad 16645)
 https://sunnah.com/ahmad"
11,Seeking Help and Intercession,पैगंबर की मृत्यु के बाद उनसे मदद (इस्तिगाहा) मांगना अनुमत है?,नबी से सीधे मदद माँगना उचित नहीं है,नबी से इस्तीगासा (मदद मांगना) अल्लाह के वसीले (मध्यस्थता) से जायज़ है,"“हम केवल तेरी ही इबादत करते हैं और तुझी से मदद मांगते हैं”
(Surah Al-Fatiha 1:5)
 https://quran.com/1/5
“जब तुम मांगो तो अल्लाह से मांगो…”
(Jami‘ al-Tirmidhi 2516)
 https://sunnah.com/tirmidhi:2516","“ऐ ईमान वालों! अल्लाह से डरो और उसकी ओर वसीला तलाश करो”
(Surah Al-Ma’idah 5:35)
 https://quran.com/5/35
Hadith of the Blind Man (Tawassul):
(Jami‘ al-Tirmidhi 3578)
 https://sunnah.com/tirmidhi:3578"
