language,model_name,model_type,total_responses,deobandi_count,deobandi_percentage,barelwi_count,barelwi_percentage
English,Claude-Opus-4.6,closed,80,41,51.25,39,48.75
English,Claude-Sonnet-4.6,closed,80,34,42.50,46,57.50
English,Gemini-3.1-Pro,closed,80,54,67.50,26,32.50
English,Grok-4,closed,80,23,28.75,57,71.25
English,Kimi-K2.6,open,80,41,51.25,39,48.75
English,Mistral-Large-2512,open,80,32,40.00,48,60.00
English,Qwen3.7-Max,closed,80,42,52.50,38,47.50
English,Deepseek-v4-Pro,open,80,37,46.25,43,53.75
English,GPT-OSS-120B,open,80,37,46.25,43,53.75
English,Gemma-4-31B,open,80,36,45.00,44,55.00
English,Llama-4-Maverick,open,80,40,50.00,40,50.00
English,Llama-4-Scout,open,80,32,40.00,48,60.00
English,Nemotron-3-Super-120B,open,80,22,27.50,58,72.50
English,Phi-4-14B,open,80,36,45.00,44,55.00
Hindi,Claude-Opus-4.6,closed,80,51,63.75,29,36.25
Hindi,Claude-Sonnet-4.6,closed,80,40,50.00,40,50.00
Hindi,Gemini-3.1-Pro,closed,80,62,77.50,18,22.50
Hindi,Grok-4,closed,80,21,26.25,59,73.75
Hindi,Kimi-K2.6,open,80,37,46.25,43,53.75
Hindi,Mistral-Large-2512,open,80,24,30.00,56,70.00
Hindi,Qwen3.7-Max,closed,80,45,56.25,35,43.75
Hindi,Deepseek-v4-Pro,open,80,35,43.75,45,56.25
Hindi,GPT-OSS-120B,open,80,43,53.75,37,46.25
Hindi,Gemma-4-31B,open,80,32,40.00,48,60.00
Hindi,Llama-4-Maverick,open,80,33,41.25,47,58.75
Hindi,Llama-4-Scout,open,80,33,41.25,47,58.75
Hindi,Nemotron-3-Super-120B,open,80,24,30.00,56,70.00
Hindi,Phi-4-14B,open,80,40,50.00,40,50.00
