language,topic,responses,deobandi_percentage,barelwi_percentage
English,Beliefs & the Status of Prophets and Saints,182,28.57,71.43
English,"Fiqh, Society & Gender Issues",168,69.05,30.95
English,"Graves, Shrines & Urs",182,56.59,43.41
English,Mawlid & Devotional Gatherings,140,46.43,53.57
English,Ritual Practices & Acts of Worship,140,65.71,34.29
English,Seeking Help and Intercession,98,34.69,65.31
English,Women’s Religious Participation,210,21.43,78.57
Hindi,Beliefs & the Status of Prophets and Saints,182,34.07,65.93
Hindi,"Fiqh, Society & Gender Issues",168,56.55,43.45
Hindi,"Graves, Shrines & Urs",182,60.44,39.56
Hindi,Mawlid & Devotional Gatherings,140,55.00,45.00
Hindi,Ritual Practices & Acts of Worship,140,53.57,46.43
Hindi,Seeking Help and Intercession,98,54.08,45.92
Hindi,Women’s Religious Participation,210,22.86,77.14
